Timestamp,I have read the above and voluntarily agree to participate in this survey.  ,Age,Gender,Marital Status ,Higher Education Level ,Current Sector,Job Title / Position (*Senior Officer) ,Years of Work Experience ,Employment Type ,Weekly Working Hours ,Daily Communication (office to Home) Time,I have the freedom to decide how I complete my tasks. ,My workload often leaves me with little free time or energy. ,My supervisor encourages me to share new ideas. ,My organization values creativity and innovation. ,I feel psychologically safe to express new or different opinions at work. ,My job provides opportunities to learn new skills. ,I receive fair recognition for innovative work. ,My job allows flexibility to balance personal and professional life. ,I feel overburdened with repetitive tasks that reduce creativity. ,I believe my work environment supports experimentation and risk-taking. ,My current job helps me build skills useful for future independence. ,I am gaining valuable professional networks through my job. ,My job provides financial stability. ,I can save money regularly from my salary. ,I feel financially secure enough to take career risks. ,I believe my job is preparing me for greater responsibilities. ,I believe abilities can be developed through dedication and effort (growth mindset). ,I am willing to take risks to achieve greater independence. ,I often think about starting something of my own (business/project). ,I prefer stability and security over independence and risk. ,I feel motivated to innovate despite work constraints. ,I regularly suggest new ideas at my workplace. ,My job encourages entrepreneurship (innovation inside the company). ,I am involved in personal side-projects outside my job. ,I dedicate weekly time to creative or entrepreneurial work beyond my job. ,I have plans to start my own venture in the future. ,"I have already taken steps towards independence (registered business, freelancing, partnerships, etc.). ",My job hinders me from working on personal projects. ,"Without this job, I would pursue more innovative activities. ","My job has taught me how to manage projects, teams, or resources. ",I believe my job is a stepping stone toward something bigger in life. ,Barriers: (Check all that apply) ,Enablers: (Check all that apply) ,"In your own words, how has your job influenced your ability to innovate or pursue independence? ",What changes in your job/organization would help you be more creative or independent? ,Do you view your job as a constraint or a stepping stone? Why? ,Age,Age
9/14/2025 22:21:55,Yes,26–30,Male,Single,Bachelor’s,Public,Assistant programmer ,0–2,Permanent,41–50,1–2 hours,4,2,5,3,4,4,3,4,3,2,3,4,4,4,4,3,4,3,5,4,4,4,3,3,3,5,1,3,1,2,4,"Lack of time, Lack of financial security, Family responsibilities, Fear of risk/failure, Lack of skills","Supportive boss/organization, Financial savings, Networks and contacts, Access to resources (labs, tools, internet, etc.), Motivation/passion",,,,,
9/14/2025 22:25:33,Yes,26–30,Male,Married,Master’s,Public,Senior Officer,0–2,Permanent,30–40,1–2 hours,3,4,5,4,3,4,4,3,3,2,4,4,4,3,2,3,5,5,5,3,4,3,2,3,3,5,2,2,2,3,3,"Lack of time, Lack of financial security, Family responsibilities, Fear of risk/failure, Lack of skills","Supportive boss/organization, Financial savings, Skills and knowledge from current job, Networks and contacts, Access to resources (labs, tools, internet, etc.), Motivation/passion",Encouraging me to take new marketing ideas for productivity.,Skilled workers needed,Stepping stone,,
9/14/2025 22:44:49,Yes,26–30,Male,Single,Master’s,Education,Research Fellow,0–2,Contract,Less than 30,1–2 hours,3,4,3,4,3,3,4,3,4,5,2,3,5,5,5,2,3,1,1,4,1,3,4,2,1,1,2,3,3,2,2,"Lack of financial security, Family responsibilities, Unsupportive organization","Skills and knowledge from current job, Networks and contacts, Access to resources (labs, tools, internet, etc.), Motivation/passion",,,,,
9/14/2025 23:24:23,Yes,26–30,Male,Single,Bachelor’s,Private,Junior Engineer ,3–5,Contract,30–40,"30–60 mins,",3,4,3,4,3,3,3,2,2,2,3,4,3,2,2,3,4,4,3,2,4,3,2,2,3,2,2,3,4,3,3,"Lack of time, Lack of financial security, Family responsibilities","Supportive boss/organization, Financial savings, Skills and knowledge from current job, Networks and contacts, Access to resources (labs, tools, internet, etc.), Motivation/passion",,,,,
9/14/2025 23:25:20,Yes,31–35,Male,Single,Master’s,Private,Assistant Professor,6–10,Permanent,30–40,More than 2 hours,2,5,3,2,2,1,1,1,1,1,3,3,2,1,2,2,5,4,4,2,5,2,1,4,4,5,3,2,4,4,4,"Lack of time, Lack of financial security, Family responsibilities, Fear of risk/failure, Unsupportive organization","Skills and knowledge from current job, Networks and contacts, Access to resources (labs, tools, internet, etc.), Motivation/passion",There are lot of limitations and insecurity in my job. This motivated myself.,They need to more creative and open-minded.,Constraint. They forced me to do old repetitive works.,,
9/14/2025 23:48:28,Yes,18-25,Male,Single,Bachelor’s,Education,Labaid MTO program,0–2,Part-time,30–40,Less than 30 mins,4,4,5,5,4,4,4,4,5,4,4,4,3,2,2,3,3,4,4,4,3,4,4,1,4,5,4,4,4,4,4,"Lack of time, Lack of financial security, Family responsibilities, Fear of risk/failure","Networks and contacts, Access to resources (labs, tools, internet, etc.), Motivation/passion",,,,,
9/15/2025 0:04:47,Yes,26–30,Female,Married,Bachelor’s,Tech,Assistant Manager ,3–5,Permanent,30–40,"30–60 mins,",3,3,4,4,3,4,5,4,3,5,3,4,5,5,5,5,5,5,5,3,2,5,5,5,3,5,1,1,2,5,5,"Lack of time, Fear of risk/failure","Financial savings, Skills and knowledge from current job, Networks and contacts",By providing better remuneration and helping new skills.,Providing freedom in some work field.,No . I don’t ,,
9/15/2025 0:06:33,Yes,18-25,Male,Single,Bachelor’s,Private,IT Intern,0–2,Part-time,Less than 30,1–2 hours,5,2,5,5,5,4,5,5,1,5,5,5,3,2,2,5,5,4,3,3,4,4,5,4,3,4,4,1,1,5,4,Lack of financial security,"Supportive boss/organization, Skills and knowledge from current job, Networks and contacts, Access to resources (labs, tools, internet, etc.), Motivation/passion",My job is willing to fund ideas without expecting a fully working final product. This gives me the independence to experiment and innovate without being bound. ,It's almost perfect. The location is a bit far from my home tho,"I view it almost like a stepping stone but not quite. It helps me with my creativity and ideas to be brought to life, which is training me for my future studies with real life experience. I might just stay here if destiny allows. ",,
9/15/2025 0:08:57,Yes,41–50,Male,Married,Master’s,Education,Associate ,16+,Permanent,30–40,"30–60 mins,",2,2,1,1,3,1,4,2,2,2,4,4,4,4,4,4,2,2,2,2,3,4,2,3,3,1,3,2,4,2,2,"Lack of financial security, Family responsibilities","Skills and knowledge from current job, Networks and contacts, Access to resources (labs, tools, internet, etc.)",Incares ,Creative ,Constraints due professional ,,
9/15/2025 0:53:59,Yes,26–30,Female,Married,Master’s,Education,Lecturer ,3–5,Permanent,30–40,Less than 30 mins,1,1,3,4,1,1,1,1,1,5,1,3,3,2,2,1,3,3,3,3,3,1,1,5,1,3,1,1,3,3,3,"Lack of time, Lack of financial security, Family responsibilities, Fear of risk/failure, Unsupportive organization","Supportive boss/organization, Access to resources (labs, tools, internet, etc.), Motivation/passion",,,,,
9/15/2025 7:18:45,Yes,26–30,Male,Married,Master’s,Private,Lecturer,0–2,Permanent,30–40,Less than 30 mins,3,5,4,3,3,4,4,3,4,4,3,4,4,4,2,3,5,4,4,4,4,4,2,2,2,2,2,4,3,4,3,"Lack of time, Lack of financial security, Family responsibilities","Supportive boss/organization, Skills and knowledge from current job, Networks and contacts",Pasw,Pass,Pass,,
9/15/2025 9:21:35,Yes,31–35,Female,Married,PhD+=,Private,Assistant professor,0–2,Permanent,41–50,Less than 30 mins,1,1,3,2,1,5,1,1,5,5,5,2,2,1,1,3,2,1,1,1,1,3,1,1,1,4,3,1,1,1,1,"Lack of time, Lack of financial security, Family responsibilities, Fear of risk/failure, Unsupportive organization, Lack of skills","Supportive boss/organization, Financial savings, Skills and knowledge from current job, Networks and contacts, Access to resources (labs, tools, internet, etc.), Motivation/passion",i dont get any flexibility in my work,Give opportunities in work independency,Limitation in decission making is the constraint and time bounding is the main reson for job unlikeliness,,
9/15/2025 9:50:44,Yes,26–30,Female,Single,Master’s,Education,Assistant Professor ,6–10,Permanent,30–40,Less than 30 mins,1,2,3,2,1,2,2,2,4,4,3,5,3,2,4,2,4,4,5,4,3,4,2,1,1,5,3,3,3,5,4,"Lack of time, Lack of financial security, Unsupportive organization","Networks and contacts, Access to resources (labs, tools, internet, etc.), Motivation/passion",,Skill enhancement training ,Not fully!,,
9/15/2025 10:59:30,Yes,31–35,Male,Single,Bachelor’s,Private,Senior engineer ,6–10,Permanent,41–50,More than 2 hours,5,5,3,5,3,4,5,5,5,5,3,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Lack of time, Lack of financial security, Fear of risk/failure",Networks and contacts,N/a,N/a,N/a,,
9/15/2025 11:49:50,Yes,31–35,Male,Married,Bachelor’s,Tech,Programmer,6–10,Permanent,30–40,Less than 30 mins,1,4,2,3,2,2,3,3,3,3,3,2,3,2,3,3,2,2,3,3,3,3,2,3,2,2,2,2,2,2,3,"Lack of time, Family responsibilities, Fear of risk/failure, Unsupportive organization","Supportive boss/organization, Networks and contacts, Access to resources (labs, tools, internet, etc.), Motivation/passion",,,,,
9/15/2025 14:26:30,Yes,26–30,Male,Single,Bachelor’s,Other,Freelance,0–2,Freelance,Less than 30,More than 2 hours,4,4,5,3,4,5,5,5,5,4,4,4,3,4,5,4,4,5,5,5,5,5,4,5,4,4,4,4,5,4,4,"Lack of financial security, Fear of risk/failure","Skills and knowledge from current job, Networks and contacts, Access to resources (labs, tools, internet, etc.), Motivation/passion",My job’s forced me to get creative and figure things out on the fly. That’s what’s made me confident enough to chase ideas and work on my own.,"If there were fewer hoops to jump through and clearer priorities, I’d have more space to try new things. Knowing the team has my back even if an idea flops would make me bolder and more independent.","I see it as a stepping stone because it’s helping me learn and grow, so I can take on bigger things later.",,
9/15/2025 15:14:06,Yes,18-25,Male,Married,Bachelor’s,Tech,Web developer ,3–5,Freelance,Less than 30,"30–60 mins,",5,5,3,5,5,5,5,5,2,5,5,5,5,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,2,5,5,Family responsibilities,Skills and knowledge from current job,,,,,
9/15/2025 15:29:24,Yes,31–35,Male,Married,Bachelor’s,Private,Senior Software Engineer,6–10,Permanent,41–50,1–2 hours,5,2,5,5,5,5,5,5,2,3,4,4,4,4,4,5,5,3,3,5,4,5,5,3,3,3,1,1,1,5,5,Family responsibilities,"Supportive boss/organization, Financial savings, Skills and knowledge from current job, Networks and contacts, Access to resources (labs, tools, internet, etc.), Motivation/passion","My job has played a big role in shaping my ability to innovate and think independently. Working with international clients, especially from Europe and America, has exposed me to higher standards, structured processes, and modern tools that are often missing in many local companies in Bangladesh. This environment encourages creativity, problem-solving, and accountability rather than simply following instructions.  In local companies, the focus can sometimes be more on short-term delivery and less on innovation or autonomy. But in my work, I’ve had the freedom to propose new ideas, improve workflows, and experiment with solutions that add real value for clients. This independence has not only improved my confidence but also given me a mindset where I look for long-term impact instead of just quick results.  Overall, my role has helped me bridge cultures and standards, learn from global best practices, and bring that knowledge back into my own work, something that sets me apart in the Bangladeshi job market.","One big change that would help me be more creative and independent is financial security. In Bangladesh, most jobs don’t pay enough to allow true financial independence, which makes people focus more on survival than on innovation. If organizations here invested more in fair pay and long-term growth opportunities, employees could take risks, explore new ideas, and contribute beyond just meeting deadlines.  Another change would be giving employees more ownership and trust. In many local companies, decisions are often top-down, which limits creativity. On the other hand, when I’ve worked with clients from Europe and America, I’ve noticed they encourage open discussion, value individual input, and give space to experiment. Bringing that culture here would unlock a lot of hidden talent.","I see my job as a stepping stone rather than a constraint. In a country like Bangladesh, financial stability is not something many of us are born into, it’s something we have to build slowly. There are always responsibilities and the pressure of taking care of family, which is deeply rooted in our culture. That makes it difficult to take big risks or fully dedicate yourself to groundbreaking innovation from the very start.  For me, a job provides the foundation, a way to gain stability, learn, and grow. Once that foundation is secure, it creates the space and confidence to pursue more independent and innovative paths. In that sense, my job isn’t just a paycheck; it’s a stepping stone toward the freedom to create something bigger in the future.",,
9/16/2025 0:32:30,Yes,31–35,Male,Married,Master’s,Public,Assistant Professor,6–10,Permanent,30–40,Less than 30 mins,5,5,5,5,5,5,3,4,2,4,5,5,3,1,2,3,5,4,4,4,4,4,4,2,3,3,4,3,2,3,3,"Lack of time, Lack of financial security, Family responsibilities, Fear of risk/failure, Lack of skills","Supportive boss/organization, Skills and knowledge from current job",,,,,
9/16/2025 12:17:53,Yes,31–35,Male,Married,PhD+=,Education,PhD Candidate ,6–10,Permanent,30–40,"30–60 mins,",4,1,4,4,3,2,3,4,4,3,3,4,4,3,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,"Lack of financial security, Fear of risk/failure","Supportive boss/organization, Skills and knowledge from current job, Networks and contacts, Access to resources (labs, tools, internet, etc.), Motivation/passion",Greatly ,Time Management ,Stepping Stone,,
9/16/2025 12:41:06,Yes,26–30,Male,Single,Master’s,Education,Lecturer,0–2,Contract,Less than 30,"30–60 mins,",4,2,5,3,3,3,2,3,4,2,2,3,3,3,2,2,5,5,5,3,5,4,2,4,5,5,4,3,3,3,3,"Lack of financial security, Fear of risk/failure",Supportive boss/organization,It hasn’t changed much. The problem is to do with the country,More allotment and renumeration for research ,Middle of two. Because there is no restriction to stay 9-5  but there is also not enough compensation for creative works,,
9/19/2025 22:40:15,Yes,41–50,Male,Married,PhD+=,Education,Assistant Professor ,16+,Permanent,Less than 30,"30–60 mins,",3,2,4,2,2,2,2,4,4,2,3,4,4,4,2,4,4,4,4,4,2,2,2,2,2,4,2,2,2,4,4,"Family responsibilities, Fear of risk/failure, Unsupportive organization, Lack of skills","Networks and contacts, Access to resources (labs, tools, internet, etc.), Motivation/passion",No,Dynamic management ,Stepping stone because of gaining experience; constraint because of comfort zone,,
9/19/2025 23:19:02,Yes,18-25,Male,Single,Bachelor’s,Education,Lecturer ,0–2,Contract,30–40,1–2 hours,4,4,3,2,2,2,2,2,2,4,3,4,3,2,2,4,5,5,5,2,4,3,3,4,4,4,2,2,3,4,4,"Lack of time, Lack of financial security, Family responsibilities","Skills and knowledge from current job, Networks and contacts, Access to resources (labs, tools, internet, etc.)",By exposing me to new environment and situations.,It would help if my organization valued my ideas or opinions.,I consider it as a stepping stone. Because it gives me a platform to grow in my respective field.,,
9/23/2025 9:00:55,Yes,36–40,Female,Married,Master’s,Education,Associate Professor ,11–15,Permanent,41–50,1–2 hours,3,2,4,3,4,2,2,4,4,3,2,2,2,1,2,3,5,5,5,4,3,5,2,2,2,5,2,2,2,4,3,"Lack of financial security, Fear of risk/failure, Unsupportive organization, Lack of skills","Supportive boss/organization, Financial savings, Skills and knowledge from current job, Networks and contacts, Motivation/passion",Take give pressure for.new idea but not implementation that,"Give me monetary benefit,designation and authority power",Constraint,,
9/30/2025 9:05:47,Yes,26–30,Male,Married,Master’s,Education,Lecturer,6–10,Permanent,30–40,More than 2 hours,3,4,3,3,3,2,2,4,3,3,4,3,4,3,1,2,3,2,2,2,1,1,1,1,1,1,1,1,1,5,3,"Lack of time, Lack of financial security, Family responsibilities, Fear of risk/failure","Supportive boss/organization, Skills and knowledge from current job, Networks and contacts, Access to resources (labs, tools, internet, etc.), Motivation/passion",,,,,
9/30/2025 9:29:37,Yes,31–35,Male,Single,Bachelor’s,Private,Lecturer ,3–5,Permanent,30–40,"30–60 mins,",3,5,2,1,1,1,1,1,5,1,1,1,1,2,1,1,5,5,3,4,4,3,1,2,2,4,1,5,5,1,1,"Lack of time, Lack of financial security, Fear of risk/failure, Unsupportive organization",Skills and knowledge from current job,No. The organization works following archaic strategies which do not contribute to innovation. ,The leaders should speak up against any injustices and promote creativity. ,Definitely a constraint.,,
10/1/2025 15:58:52,Yes,51+,Male,Married,PhD+=,Education,Professor ,16+,Permanent,41–50,More than 2 hours,4,3,5,5,4,4,4,4,3,4,3,4,3,1,3,4,3,3,3,4,4,3,4,3,3,4,3,2,3,2,2,"Lack of time, Lack of financial security, Family responsibilities","Networks and contacts, Access to resources (labs, tools, internet, etc.)",Moderate,Raising salary,Moderate.,,
10/1/2025 18:13:47,Yes,41–50,Female,Married,Master’s,Education,Assistant Professor ,11–15,Permanent,30–40,More than 2 hours,3,4,3,3,2,2,3,3,5,3,3,3,4,3,3,3,5,4,3,3,4,4,2,4,2,3,2,2,4,2,3,"Lack of time, Family responsibilities",Motivation/passion,  My students inspire me a lot.,If the organigation reduce work load and time,Stepping stone.Because it gives me opportunity to study further.,,
10/1/2025 21:53:04,Yes,41–50,Female,Married,PhD+=,Private,Assistant professor,6–10,Permanent,30–40,1–2 hours,4,4,5,5,4,4,5,3,5,5,4,4,5,3,1,4,5,1,4,1,4,3,4,5,4,5,5,4,5,5,5,Family responsibilities,Skills and knowledge from current job,Yes,Flexible ,No,,
10/2/2025 13:34:35,Yes,26–30,Male,Single,Master’s,Education,Lecturer ,0–2,Permanent,30–40,1–2 hours,2,3,3,3,3,2,2,2,3,3,2,2,2,2,3,2,1,2,2,1,1,3,4,2,3,3,3,4,4,2,2,"Lack of time, Family responsibilities","Financial savings, Skills and knowledge from current job, Networks and contacts, Access to resources (labs, tools, internet, etc.)",,,,,
10/2/2025 20:44:35,Yes,51+,Male,Married,PhD+=,Education,Associate Professor,16+,Permanent,41–50,1–2 hours,4,4,4,4,3,4,3,3,3,3,3,3,4,3,2,4,4,5,4,4,4,3,3,1,2,2,1,4,3,4,3,"Lack of time, Lack of financial security","Supportive boss/organization, Skills and knowledge from current job, Access to resources (labs, tools, internet, etc.), Motivation/passion",....,more flexibility,no,,
10/3/2025 10:07:40,Yes,26–30,Male,Single,Bachelor’s,Education,Lecturer ,0–2,Permanent,30–40,"30–60 mins,",1,5,4,1,1,3,2,1,5,3,4,5,1,1,1,3,4,4,4,5,1,4,2,1,1,3,2,5,3,5,5,Lack of financial security,"Skills and knowledge from current job, Networks and contacts",,,,,
10/4/2025 10:09:16,Yes,26–30,Female,Married,Master’s,Private,Lecturer ,0–2,Permanent,30–40,Less than 30 mins,2,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Lack of time, Lack of financial security, Fear of risk/failure, Unsupportive organization",Financial savings,,,,,
11/3/2025 9:35:57,,,Male,Single,Bachelor’s,Private,Sales executive ,6–10,Permanent,30–40,Less than 30 mins,2,3,4,4,3,2,4,5,4,4,5,4,5,4,5,4,3,4,4,5,5,3,3,4,4,5,5,4,5,4,5,Lack of time,Skills and knowledge from current job,,,,26–30,
11/5/2025 21:23:07,,,Male,Married,Master’s,Private,Junior officer ,3–5,Permanent,30–40,"30–60 mins,",4,4,5,5,4,3,4,4,5,2,5,4,3,2,4,4,4,4,5,5,5,4,2,2,4,4,5,5,5,4,4,Family responsibilities,Financial savings,No Idea,,,31–35,
11/5/2025 21:25:50,,,Female,Married,Bachelor’s,Healthcare,Nurse,6–10,Contract,30–40,Less than 30 mins,4,4,1,1,4,5,5,4,4,5,3,4,4,5,3,4,5,5,5,4,1,1,2,4,4,5,5,4,3,4,5,Family responsibilities,Financial savings,,,,31–35,
11/5/2025 21:28:13,,,Male,Single,Bachelor’s,Private,Sales man,6–10,Contract,41–50,Less than 30 mins,1,1,2,3,1,1,4,4,1,1,1,1,2,2,3,4,4,4,4,2,1,1,1,3,3,4,4,3,1,1,4,Lack of financial security,Skills and knowledge from current job,,,,18-25,
11/5/2025 21:30:07,,,Male,Single,HSC,Private,Sales man,6–10,Contract,30–40,Less than 30 mins,1,1,1,2,3,4,4,1,3,4,1,1,3,4,4,4,2,2,3,4,5,4,3,3,4,4,4,4,5,4,1,Lack of time,"Supportive boss/organization, Financial savings",,,,26–30,
11/5/2025 21:32:57,,,Male,Married,Bachelor’s,Education,Teacher,0–2,Part-time,Less than 30,Less than 30 mins,4,4,4,5,5,3,4,5,5,5,4,4,2,4,5,4,5,5,5,3,3,1,1,2,1,2,2,4,4,5,5,Lack of time,"Financial savings, Motivation/passion",,,,31–35,
11/5/2025 21:34:55,,,Male,Married,Master’s,Private,Admin manager ,11–15,Permanent,30–40,Less than 30 mins,4,3,3,4,4,1,3,3,4,1,2,2,5,5,4,4,1,2,3,3,5,4,4,4,5,5,5,3,2,3,1,"Lack of time, Lack of financial security, Family responsibilities","Supportive boss/organization, Financial savings, Skills and knowledge from current job",,,,36–40,
11/5/2025 21:36:37,,,Female,Single,HSC,Healthcare,Nurse,3–5,Contract,Less than 30,Less than 30 mins,1,2,3,3,4,5,5,4,4,3,3,3,4,4,5,5,1,2,1,3,3,5,5,4,4,5,5,4,4,3,3,"Lack of financial security, Family responsibilities","Supportive boss/organization, Financial savings",,,,18-25,
11/6/2025 17:12:13,,,Male,Married,Master’s,Public,Principle officer ,11–15,Permanent,30–40,Less than 30 mins,1,4,2,4,4,5,2,4,4,5,1,4,5,5,4,4,5,4,5,4,5,4,5,4,5,1,1,4,4,4,3,"Lack of time, Family responsibilities, Fear of risk/failure","Supportive boss/organization, Financial savings, Skills and knowledge from current job",,,,36–40,
11/6/2025 17:23:03,,,Female,Married,Bachelor’s,Private,Teacher,3–5,Part-time,Less than 30,Less than 30 mins,2,2,3,4,4,3,2,1,3,4,4,4,4,3,4,4,5,4,4,5,2,5,5,1,2,1,2,5,4,5,5,"Lack of time, Lack of financial security, Family responsibilities","Supportive boss/organization, Financial savings, Skills and knowledge from current job",,,,31–35,
11/6/2025 17:26:51,,,Male,Single,Bachelor’s,Healthcare,Cash Officer,0–2,Permanent,30–40,Less than 30 mins,2,3,3,2,2,4,4,5,5,5,4,4,5,5,2,2,5,5,4,4,5,5,4,5,5,5,4,3,2,3,4,"Lack of time, Lack of financial security, Family responsibilities","Supportive boss/organization, Financial savings, Skills and knowledge from current job",,,,26–30,
11/6/2025 17:29:12,,,Male,Married,Master’s,Private,Assistant manager,3–5,Permanent,30–40,"30–60 mins,",2,3,1,4,4,5,5,4,5,3,4,4,5,1,1,2,3,3,4,5,4,2,2,3,4,4,5,5,4,4,5,Family responsibilities,"Financial savings, Skills and knowledge from current job",,,,36–40,
11/6/2025 17:31:26,,,Female,Married,HSC,Private,Nurse,3–5,Permanent,Less than 30,"30–60 mins,",5,5,4,5,4,5,4,5,5,3,2,5,5,3,3,2,1,2,4,4,5,2,2,4,4,5,5,3,4,5,4,"Lack of time, Lack of financial security, Family responsibilities, Fear of risk/failure",Financial savings,,,,31–35,
